[2026-02-12T19:32:43.814+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4246, completion-tokens, 285, total-tokens, 4531, cost-ms, 8671, requestId, , temperature, 0
[2026-02-12T19:35:00.308+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4717, completion-tokens, 269, total-tokens, 4986, cost-ms, 7013, requestId, , temperature, 0
[2026-02-12T19:35:06.552+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5107, completion-tokens, 149, total-tokens, 5256, cost-ms, 4436, requestId, , temperature, 0
[2026-02-12T19:35:07.269+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5051, completion-tokens, 225, total-tokens, 5276, cost-ms, 6595, requestId, , temperature, 0
[2026-02-12T19:35:15.464+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5463, completion-tokens, 138, total-tokens, 5601, cost-ms, 6399, requestId, , temperature, 0
[2026-02-12T19:35:15.769+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5406, completion-tokens, 299, total-tokens, 5705, cost-ms, 7453, requestId, , temperature, 0
[2026-02-12T19:35:20.378+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5767, completion-tokens, 125, total-tokens, 5892, cost-ms, 2797, requestId, , temperature, 0
[2026-02-12T19:35:20.753+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5704, completion-tokens, 138, total-tokens, 5842, cost-ms, 3488, requestId, , temperature, 0
[2026-02-12T19:35:25.292+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6008, completion-tokens, 128, total-tokens, 6136, cost-ms, 3115, requestId, , temperature, 0
[2026-02-12T19:35:26.222+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6065, completion-tokens, 138, total-tokens, 6203, cost-ms, 3712, requestId, , temperature, 0
[2026-02-12T19:35:31.641+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6366, completion-tokens, 138, total-tokens, 6504, cost-ms, 3599, requestId, , temperature, 0
[2026-02-12T19:35:33.384+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6309, completion-tokens, 147, total-tokens, 6456, cost-ms, 6283, requestId, , temperature, 0
[2026-02-12T19:35:36.968+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6583, completion-tokens, 138, total-tokens, 6721, cost-ms, 3517, requestId, , temperature, 0
[2026-02-12T19:35:38.869+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6639, completion-tokens, 138, total-tokens, 6777, cost-ms, 3684, requestId, , temperature, 0
[2026-02-12T19:35:41.983+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6775, completion-tokens, 138, total-tokens, 6913, cost-ms, 3216, requestId, , temperature, 0
[2026-02-12T19:35:44.828+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6917, completion-tokens, 190, total-tokens, 7107, cost-ms, 4143, requestId, , temperature, 0
[2026-02-12T19:35:48.841+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7053, completion-tokens, 198, total-tokens, 7251, cost-ms, 5054, requestId, , temperature, 0
[2026-02-12T19:35:58.267+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7294, completion-tokens, 138, total-tokens, 7432, cost-ms, 7593, requestId, , temperature, 0
[2026-02-12T19:36:06.234+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7433, completion-tokens, 202, total-tokens, 7635, cost-ms, 6291, requestId, , temperature, 0
[2026-02-12T19:36:12.192+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7572, completion-tokens, 138, total-tokens, 7710, cost-ms, 4199, requestId, , temperature, 0
[2026-02-12T19:36:18.589+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7711, completion-tokens, 218, total-tokens, 7929, cost-ms, 4557, requestId, , temperature, 0
[2026-02-12T19:36:24.581+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7850, completion-tokens, 138, total-tokens, 7988, cost-ms, 4181, requestId, , temperature, 0
[2026-02-12T19:36:29.367+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4243, completion-tokens, 270, total-tokens, 4513, cost-ms, 6358, requestId, , temperature, 0
[2026-02-12T19:36:30.520+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4754, completion-tokens, 181, total-tokens, 4935, cost-ms, 4077, requestId, , temperature, 0
[2026-02-12T19:36:34.870+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5049, completion-tokens, 168, total-tokens, 5217, cost-ms, 3702, requestId, , temperature, 0
[2026-02-12T19:36:37.691+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5109, completion-tokens, 188, total-tokens, 5297, cost-ms, 5292, requestId, , temperature, 0
[2026-02-12T19:36:40.761+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5248, completion-tokens, 175, total-tokens, 5423, cost-ms, 4083, requestId, , temperature, 0
[2026-02-12T19:36:43.095+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5387, completion-tokens, 170, total-tokens, 5557, cost-ms, 3573, requestId, , temperature, 0
[2026-02-12T19:36:45.883+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5526, completion-tokens, 134, total-tokens, 5660, cost-ms, 3289, requestId, , temperature, 0
[2026-02-12T19:36:49.466+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5665, completion-tokens, 197, total-tokens, 5862, cost-ms, 4541, requestId, , temperature, 0
[2026-02-12T19:36:51.101+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5804, completion-tokens, 168, total-tokens, 5972, cost-ms, 3408, requestId, , temperature, 0
[2026-02-12T19:36:55.611+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6029, completion-tokens, 171, total-tokens, 6200, cost-ms, 4307, requestId, , temperature, 0
[2026-02-12T19:36:56.529+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6082, completion-tokens, 164, total-tokens, 6246, cost-ms, 3583, requestId, , temperature, 0
[2026-02-12T19:37:00.798+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4243, completion-tokens, 309, total-tokens, 4552, cost-ms, 6814, requestId, , temperature, 0
[2026-02-12T19:37:03.085+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4864, completion-tokens, 215, total-tokens, 5079, cost-ms, 5634, requestId, , temperature, 0
[2026-02-12T19:37:08.001+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5118, completion-tokens, 238, total-tokens, 5356, cost-ms, 5383, requestId, , temperature, 0
[2026-02-12T19:37:09.457+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5257, completion-tokens, 138, total-tokens, 5395, cost-ms, 4541, requestId, , temperature, 0
[2026-02-12T19:37:13.015+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4924, completion-tokens, 248, total-tokens, 5172, cost-ms, 14666, requestId, , temperature, 0
[2026-02-12T19:37:15.548+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5469, completion-tokens, 213, total-tokens, 5682, cost-ms, 5699, requestId, , temperature, 0
[2026-02-12T19:37:18.854+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5632, completion-tokens, 143, total-tokens, 5775, cost-ms, 4004, requestId, , temperature, 0
[2026-02-12T19:37:22.538+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5763, completion-tokens, 258, total-tokens, 6021, cost-ms, 5158, requestId, , temperature, 0
[2026-02-12T19:37:26.944+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5902, completion-tokens, 226, total-tokens, 6128, cost-ms, 6218, requestId, , temperature, 0
[2026-02-12T19:37:27.351+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6033, completion-tokens, 135, total-tokens, 6168, cost-ms, 2956, requestId, , temperature, 0
[2026-02-12T19:37:32.373+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6274, completion-tokens, 143, total-tokens, 6417, cost-ms, 3551, requestId, , temperature, 0
[2026-02-12T19:37:32.376+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6334, completion-tokens, 135, total-tokens, 6469, cost-ms, 3218, requestId, , temperature, 0
[2026-02-12T19:37:37.696+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6575, completion-tokens, 143, total-tokens, 6718, cost-ms, 3420, requestId, , temperature, 0
[2026-02-12T19:37:39.025+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6635, completion-tokens, 135, total-tokens, 6770, cost-ms, 4678, requestId, , temperature, 0
[2026-02-12T19:37:44.085+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6852, completion-tokens, 143, total-tokens, 6995, cost-ms, 4464, requestId, , temperature, 0
[2026-02-12T19:37:44.279+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6905, completion-tokens, 135, total-tokens, 7040, cost-ms, 3302, requestId, , temperature, 0
[2026-02-12T19:37:49.402+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7146, completion-tokens, 143, total-tokens, 7289, cost-ms, 3429, requestId, , temperature, 0
[2026-02-12T19:37:50.598+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7206, completion-tokens, 143, total-tokens, 7349, cost-ms, 4377, requestId, , temperature, 0
[2026-02-12T19:37:55.248+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7455, completion-tokens, 143, total-tokens, 7598, cost-ms, 3978, requestId, , temperature, 0
[2026-02-12T19:37:56.741+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7515, completion-tokens, 143, total-tokens, 7658, cost-ms, 4251, requestId, , temperature, 0
[2026-02-12T19:38:01.862+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4282, completion-tokens, 243, total-tokens, 4525, cost-ms, 4738, requestId, , temperature, 0
[2026-02-12T19:38:04.830+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4721, completion-tokens, 267, total-tokens, 4988, cost-ms, 6139, requestId, , temperature, 0
[2026-02-12T19:38:05.549+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4673, completion-tokens, 245, total-tokens, 4918, cost-ms, 8210, requestId, , temperature, 0
[2026-02-12T19:38:17.632+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5173, completion-tokens, 286, total-tokens, 5459, cost-ms, 7539, requestId, , temperature, 0
[2026-02-12T19:38:17.939+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4899, completion-tokens, 241, total-tokens, 5140, cost-ms, 14174, requestId, , temperature, 0
[2026-02-12T19:38:22.444+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5478, completion-tokens, 117, total-tokens, 5595, cost-ms, 2600, requestId, , temperature, 0
[2026-02-12T19:38:29.332+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5607, completion-tokens, 117, total-tokens, 5724, cost-ms, 5004, requestId, , temperature, 0
[2026-02-12T19:38:35.146+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4244, completion-tokens, 263, total-tokens, 4507, cost-ms, 6210, requestId, , temperature, 0
[2026-02-12T19:38:35.963+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4744, completion-tokens, 229, total-tokens, 4973, cost-ms, 4745, requestId, , temperature, 0
[2026-02-12T19:38:43.744+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4980, completion-tokens, 362, total-tokens, 5342, cost-ms, 6710, requestId, , temperature, 0
[2026-02-12T19:38:51.426+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5160, completion-tokens, 247, total-tokens, 5407, cost-ms, 5673, requestId, , temperature, 0
[2026-02-12T19:39:40.885+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4288, completion-tokens, 275, total-tokens, 4563, cost-ms, 5647, requestId, , temperature, 0
[2026-02-12T19:39:58.600+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4848, completion-tokens, 178, total-tokens, 5026, cost-ms, 15642, requestId, , temperature, 0
[2026-02-12T19:40:36.794+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4289, completion-tokens, 268, total-tokens, 4557, cost-ms, 6997, requestId, , temperature, 0
[2026-02-12T19:40:43.147+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4868, completion-tokens, 218, total-tokens, 5086, cost-ms, 4494, requestId, , temperature, 0
[2026-02-12T19:41:04.137+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5075, completion-tokens, 237, total-tokens, 5312, cost-ms, 19116, requestId, , temperature, 0
[2026-02-12T20:14:50.215+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4237, completion-tokens, 184, total-tokens, 4421, cost-ms, 15137, requestId, , temperature, 0
[2026-02-12T20:14:56.523+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4746, completion-tokens, 166, total-tokens, 4912, cost-ms, 4575, requestId, , temperature, 0
[2026-02-12T20:15:23.941+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4291, completion-tokens, 214, total-tokens, 4505, cost-ms, 8047, requestId, , temperature, 0
[2026-02-12T20:15:31.187+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4859, completion-tokens, 183, total-tokens, 5042, cost-ms, 5373, requestId, , temperature, 0
[2026-02-12T20:15:49.673+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4289, completion-tokens, 359, total-tokens, 4648, cost-ms, 7469, requestId, , temperature, 0
[2026-02-12T20:16:03.677+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4873, completion-tokens, 242, total-tokens, 5115, cost-ms, 10911, requestId, , temperature, 0
[2026-02-12T20:16:27.965+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4288, completion-tokens, 327, total-tokens, 4615, cost-ms, 11769, requestId, , temperature, 0
[2026-02-12T20:16:35.033+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4865, completion-tokens, 262, total-tokens, 5127, cost-ms, 5308, requestId, , temperature, 0
[2026-02-12T20:17:08.507+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4286, completion-tokens, 200, total-tokens, 4486, cost-ms, 4964, requestId, , temperature, 0
[2026-02-12T20:17:14.170+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4839, completion-tokens, 174, total-tokens, 5013, cost-ms, 3849, requestId, , temperature, 0
[2026-02-12T20:17:19.161+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5016, completion-tokens, 134, total-tokens, 5150, cost-ms, 3268, requestId, , temperature, 0
[2026-02-12T20:19:16.231+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4246, completion-tokens, 325, total-tokens, 4571, cost-ms, 8251, requestId, , temperature, 0
[2026-02-12T20:19:24.188+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4832, completion-tokens, 146, total-tokens, 4978, cost-ms, 4766, requestId, , temperature, 0
[2026-02-12T20:19:47.021+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4288, completion-tokens, 204, total-tokens, 4492, cost-ms, 7182, requestId, , temperature, 0
[2026-02-12T20:19:58.082+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4859, completion-tokens, 394, total-tokens, 5253, cost-ms, 9298, requestId, , temperature, 0
[2026-02-12T20:20:16.616+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4277, completion-tokens, 157, total-tokens, 4434, cost-ms, 4014, requestId, , temperature, 0
[2026-02-12T20:20:27.878+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4800, completion-tokens, 254, total-tokens, 5054, cost-ms, 7690, requestId, , temperature, 0
[2026-02-12T20:20:48.973+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4286, completion-tokens, 291, total-tokens, 4577, cost-ms, 7586, requestId, , temperature, 0
[2026-02-12T20:20:57.880+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4853, completion-tokens, 241, total-tokens, 5094, cost-ms, 7103, requestId, , temperature, 0
[2026-02-12T20:21:17.522+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4277, completion-tokens, 224, total-tokens, 4501, cost-ms, 5836, requestId, , temperature, 0
[2026-02-12T20:21:24.405+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4799, completion-tokens, 225, total-tokens, 5024, cost-ms, 5198, requestId, , temperature, 0
[2026-02-12T20:21:51.540+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4287, completion-tokens, 304, total-tokens, 4591, cost-ms, 8197, requestId, , temperature, 0
[2026-02-12T20:22:01.475+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4869, completion-tokens, 306, total-tokens, 5175, cost-ms, 8154, requestId, , temperature, 0
[2026-02-12T20:22:29.531+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5151, completion-tokens, 335, total-tokens, 5486, cost-ms, 308624, requestId, , temperature, 0
[2026-02-12T20:22:35.369+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5102, completion-tokens, 185, total-tokens, 5287, cost-ms, 4020, requestId, , temperature, 0
[2026-02-12T20:22:43.458+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5237, completion-tokens, 243, total-tokens, 5480, cost-ms, 6321, requestId, , temperature, 0
[2026-02-12T20:22:51.489+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5372, completion-tokens, 183, total-tokens, 5555, cost-ms, 6232, requestId, , temperature, 0
[2026-02-12T20:23:09.569+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4243, completion-tokens, 295, total-tokens, 4538, cost-ms, 9592, requestId, , temperature, 0
[2026-02-12T20:23:25.646+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4820, completion-tokens, 214, total-tokens, 5034, cost-ms, 5460, requestId, , temperature, 0
[2026-02-12T20:24:16.771+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4286, completion-tokens, 312, total-tokens, 4598, cost-ms, 7932, requestId, , temperature, 0
[2026-02-12T20:24:28.316+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4853, completion-tokens, 378, total-tokens, 5231, cost-ms, 9714, requestId, , temperature, 0
[2026-02-12T20:24:38.146+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5062, completion-tokens, 284, total-tokens, 5346, cost-ms, 7984, requestId, , temperature, 0
[2026-02-12T20:24:47.726+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5271, completion-tokens, 261, total-tokens, 5532, cost-ms, 7770, requestId, , temperature, 0
[2026-02-12T20:24:58.217+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5466, completion-tokens, 342, total-tokens, 5808, cost-ms, 8592, requestId, , temperature, 0
[2026-02-12T20:25:06.406+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5675, completion-tokens, 221, total-tokens, 5896, cost-ms, 6304, requestId, , temperature, 0
[2026-02-12T20:25:21.138+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5884, completion-tokens, 416, total-tokens, 6300, cost-ms, 12864, requestId, , temperature, 0
[2026-02-12T20:25:32.523+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6093, completion-tokens, 381, total-tokens, 6474, cost-ms, 9398, requestId, , temperature, 0
[2026-02-12T20:25:39.521+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6305, completion-tokens, 227, total-tokens, 6532, cost-ms, 5000, requestId, , temperature, 0
[2026-02-12T20:25:51.568+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6517, completion-tokens, 387, total-tokens, 6904, cost-ms, 10084, requestId, , temperature, 0
[2026-02-12T20:26:03.470+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6729, completion-tokens, 226, total-tokens, 6955, cost-ms, 10018, requestId, , temperature, 0
[2026-02-12T20:26:18.195+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6941, completion-tokens, 568, total-tokens, 7509, cost-ms, 12518, requestId, , temperature, 0
[2026-02-12T20:26:25.486+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7152, completion-tokens, 335, total-tokens, 7487, cost-ms, 5237, requestId, , temperature, 0
[2026-02-12T20:26:36.217+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7349, completion-tokens, 339, total-tokens, 7688, cost-ms, 8618, requestId, , temperature, 0
[2026-02-12T20:26:48.580+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7546, completion-tokens, 223, total-tokens, 7769, cost-ms, 10140, requestId, , temperature, 0
[2026-02-12T20:37:28.830+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4237, completion-tokens, 338, total-tokens, 4575, cost-ms, 7674, requestId, , temperature, 0
[2026-02-12T20:37:35.369+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4770, completion-tokens, 172, total-tokens, 4942, cost-ms, 4225, requestId, , temperature, 0
[2026-02-12T20:37:55.264+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4289, completion-tokens, 253, total-tokens, 4542, cost-ms, 7092, requestId, , temperature, 0
